ID;Sex;Age;Height;Weight;NOC;Year;Sport;Medal
44724;F;24;175;77;USA;2006;Ice Hockey;Bronze
44728;M;21;180;76;CAN;1936;Ice Hockey;Silver
44739;M;23;180;76;SWE;1964;Ice Hockey;Silver
44761;M;26;183;92;FIN;2006;Ice Hockey;Silver
44761;M;30;183;92;FIN;2010;Ice Hockey;Bronze
44785;M;22;180;73;GDR;1976;Luge;Gold
44785;M;26;180;73;GDR;1980;Luge;Gold
44800;M;28;186;87;AUT;1992;Bobsleigh;Gold
44916;M;27;173;66;FIN;1952;Cross Country Skiing;Gold
44916;M;31;173;66;FIN;1956;Cross Country Skiing;Gold
44916;M;31;173;66;FIN;1956;Cross Country Skiing;Silver
44916;M;31;173;66;FIN;1956;Cross Country Skiing;Silver
44916;M;35;173;66;FIN;1960;Cross Country Skiing;Bronze
44916;M;35;173;66;FIN;1960;Cross Country Skiing;Silver
44916;M;35;173;66;FIN;1960;Cross Country Skiing;Gold
45122;M;19;173;73.5;FIN;1960;Ski Jumping;Silver
45150;M;25;182;73;SWE;1968;Cross Country Skiing;Silver
45186;M;28;188;90;FIN;1994;Ice Hockey;Bronze
45187;M;27;172;65;FIN;1960;Cross Country Skiing;Gold
45242;M;21;175;71;CAN;2006;Short Track Speed Skating;Silver
45242;M;25;175;71;CAN;2010;Short Track Speed Skating;Gold
45242;M;25;175;71;CAN;2010;Short Track Speed Skating;Gold
45242;M;29;175;71;CAN;2014;Short Track Speed Skating;Gold
45243;M;23;175;73;CAN;2010;Short Track Speed Skating;Gold
45250;M;31;185;92;CAN;2014;Ice Hockey;Gold
45263;F;19;160;55;USA;1976;Figure Skating;Gold
45272;F;25;170;63;GBR;2014;Curling;Bronze
45295;M;25;160;50;USA;1984;Figure Skating;Gold
45305;F;27;170;65;USA;2014;Luge;Bronze
45387;M;28;183;98;GER;1994;Bobsleigh;Gold
45387;M;32;183;98;GER;1998;Bobsleigh;Gold
45398;M;23;186;95;CZE;1998;Ice Hockey;Gold
45472;F;22;170;61;PRK;1964;Speed Skating;Silver
45489;M;17;173;65;CHN;2014;Short Track Speed Skating;Silver
45489;M;17;173;65;CHN;2014;Short Track Speed Skating;Bronze
45491;M;22;173;75;CHN;2006;Freestyle Skiing;Gold
45571;M;28;181;75;NOR;1998;Biathlon;Gold
45571;M;28;181;75;NOR;1998;Biathlon;Silver
45571;M;32;181;75;NOR;2002;Biathlon;Gold
45571;M;36;181;75;NOR;2006;Biathlon;Silver
45571;M;36;181;75;NOR;2006;Biathlon;Bronze
45571;M;40;181;75;NOR;2010;Biathlon;Gold
45620;M;30;178;82;CAN;1992;Ice Hockey;Silver
45622;M;23;184;64;GER;1998;Ski Jumping;Silver
45622;M;27;184;64;GER;2002;Ski Jumping;Silver
45622;M;27;184;64;GER;2002;Ski Jumping;Gold
45630;M;23;188;80;GER;1992;Bobsleigh;Silver
45630;M;25;188;80;GER;1994;Bobsleigh;Bronze
45646;F;21;176;67;FIN;1998;Ice Hockey;Bronze
45651;M;26;179;86;SWE;2006;Ice Hockey;Gold
45685;M;19;183;82;USA;2010;Speed Skating;Silver
45766;M;22;176;78;AUS;1994;Short Track Speed Skating;Bronze
45856;M;26;186;83;SWE;1994;Ice Hockey;Gold
45895;M;21;180;63;FIN;2006;Ski Jumping;Silver
45911;M;25;173;58;JPN;1994;Ski Jumping;Silver
45911;M;29;173;58;JPN;1998;Ski Jumping;Bronze
45911;M;29;173;58;JPN;1998;Ski Jumping;Gold
46043;M;24;180;81;CAN;1968;Ice Hockey;Bronze
46075;M;22;188;89;CAN;1994;Ice Hockey;Silver
46095;M;30;185;84;CAN;2014;Curling;Gold
46098;M;27;183;91;CAN;2014;Curling;Gold
46143;M;22;178;82;USA;1980;Ice Hockey;Gold
46177;M;30;185;95;CAN;1998;Curling;Silver
46257;M;29;185;86;CAN;1998;Curling;Silver
46367;M;28;185;75;NOR;1972;Cross Country Skiing;Bronze
46367;M;28;185;75;NOR;1972;Cross Country Skiing;Silver
46408;M;33;183;77;CZE;1998;Ice Hockey;Gold
46408;M;41;183;77;CZE;2006;Ice Hockey;Bronze
46413;M;34;178;71;ITA;2006;Luge;Bronze
46438;F;27;156;58;JPN;1992;Speed Skating;Bronze
46545;M;21;176;68;FIN;1948;Nordic Combined;Gold
46545;M;25;176;68;FIN;1952;Nordic Combined;Silver
46545;M;25;176;68;FIN;1952;Cross Country Skiing;Gold
46591;M;31;186;85;NOR;2014;Cross Country Skiing;Gold
46592;F;25;172;64;NOR;1992;Freestyle Skiing;Bronze
46592;F;27;172;64;NOR;1994;Freestyle Skiing;Gold
46671;M;23;172;57;SUI;1972;Cross Country Skiing;Bronze
46675;M;25;187;80;SUI;2010;Curling;Bronze
46696;F;30;168;56;GER;2010;Biathlon;Bronze
46696;F;30;168;56;GER;2010;Biathlon;Bronze
46703;M;20;177;64;FIN;2002;Ski Jumping;Bronze
46703;M;20;177;64;FIN;2002;Ski Jumping;Silver
46703;M;24;177;64;FIN;2006;Ski Jumping;Silver
46703;M;24;177;64;FIN;2006;Ski Jumping;Silver
46711;M;25;174;80;TCH;1968;Ice Hockey;Silver
46715;M;32;182;90;SWE;2006;Ice Hockey;Gold
46822;M;22;182;65;AUT;2014;Ski Jumping;Silver
46875;M;32;190;107;USA;2002;Bobsleigh;Silver
46949;M;26;178;91;CAN;1960;Ice Hockey;Silver
46974;F;30;173;64;CAN;1998;Ice Hockey;Silver
46974;F;34;173;64;CAN;2002;Ice Hockey;Gold
47004;M;29;191;97;CAN;2010;Ice Hockey;Gold
47021;M;26;180;94;CAN;2010;Curling;Gold
47106;M;28;180;76;USA;2006;Speed Skating;Bronze
47106;M;28;180;76;USA;2006;Speed Skating;Gold
47106;M;28;180;76;USA;2006;Speed Skating;Silver
47106;M;32;180;76;USA;2010;Speed Skating;Bronze
47106;M;32;180;76;USA;2010;Speed Skating;Silver
47137;F;20;163;63;CAN;1998;Ice Hockey;Silver
47137;F;24;163;63;CAN;2002;Ice Hockey;Gold
47137;F;28;163;63;CAN;2006;Ice Hockey;Gold
