ID;Sex;Age;Height;Weight;NOC;Year;Sport;Medal
53420;M;23;185;74;CZE;2010;Cross Country Skiing;Bronze
53443;M;28;173;65.5;FIN;1936;Cross Country Skiing;Gold
53592;M;31;180;83;TCH;1992;Ice Hockey;Bronze
53688;M;23;185;86;SUI;2010;Alpine Skiing;Gold
53763;M;28;183;88;USA;1994;Speed Skating;Gold
53794;M;24;185;83;NOR;2010;Alpine Skiing;Silver
53794;M;28;185;83;NOR;2014;Alpine Skiing;Bronze
53794;M;28;185;83;NOR;2014;Alpine Skiing;Gold
53831;F;18;172;67;SWE;2002;Ice Hockey;Bronze
53831;F;22;172;67;SWE;2006;Ice Hockey;Silver
53953;M;22;187;91;FIN;1988;Ice Hockey;Silver
54041;M;32;174;68;FIN;2014;Cross Country Skiing;Gold
54079;M;24;182;73;FRA;2010;Biathlon;Gold
54079;M;24;182;73;FRA;2010;Biathlon;Bronze
54087;M;27;185;75;USA;2010;Short Track Speed Skating;Bronze
54102;M;25;188;83;CAN;2010;Short Track Speed Skating;Gold
